#{"t_start": 1788756738.2250724, "env_id": "None"}
r,l,t
-0.25,1,6.490246
-0.25,2,6.494279
-0.25,2,6.498146
-0.75,1,6.500282
-0.75,1,6.502559
-0.25,2,6.507899
0.75,1,6.510918
0.75,1,6.513886
-0.25,2,6.518901
0.25,3,6.527111
-0.25,2,6.53249
0.75,1,6.535284
0.75,1,6.537769
-0.25,1,6.540149
0.75,1,6.542446
-0.75,1,6.544962
0.75,1,6.547536
-0.25,1,6.55021
-0.75,2,6.554773
0.75,1,6.557091
-0.75,1,6.559303
-0.75,1,6.561495
-1.25,3,6.567344
0.75,1,6.569583
-0.75,1,6.571836
-0.75,1,6.573955
0.75,1,6.576066
0.75,1,6.578152
0.75,1,6.580229
-0.75,3,6.585645
-0.75,1,6.588043
-0.75,1,6.590583
0.75,1,6.592979
-0.25,2,6.597399
0.75,1,6.599852
0.75,1,6.602208
0.75,1,6.605262
0.75,1,6.608236
0.75,1,6.611125
-0.75,1,6.613839
-0.25,2,6.619018
0.75,1,6.622297
-0.25,1,6.625748
0.75,1,6.628532
-0.75,5,6.641293
0.75,1,6.643837
-1.25,3,6.650935
0.75,1,6.65336
0.75,1,6.895552
-1.25,2,6.900069
-0.25,1,6.902341
0.75,1,6.904532
0.75,1,6.906762
-0.25,2,6.910794
0.75,1,6.913077
0.75,1,6.91527
0.75,1,6.917392
0.75,1,6.919456
0.75,1,6.921394
0.75,1,6.923496
-0.75,1,6.925669
-0.25,2,6.930209
0.75,1,6.932937
-0.25,1,6.935523
-0.75,1,6.93813
0.75,1,6.940435
-0.25,1,6.942734
-0.25,2,6.946772
-0.75,1,6.948966
-0.25,1,6.951105
-0.75,1,6.953329
-0.25,1,6.955453
0.75,1,6.957663
-0.25,1,6.960171
-0.25,1,6.962503
-1.25,2,6.966515
-0.75,1,6.968701
-0.25,2,6.97311
0.75,1,6.975592
0.75,1,6.978171
0.75,1,6.980569
0.75,1,6.982834
-2.25,3,6.989134
0.75,1,6.991195
-0.75,1,6.99355
0.75,1,6.995808
-0.75,1,6.997897
-0.25,1,7.000138
-0.25,1,7.002281
-1.25,3,7.008255
0.75,1,7.010355
0.75,1,7.012585
0.75,1,7.014954
0.75,1,7.017383
0.75,1,7.019712
-0.25,1,7.022022
0.75,1,7.024343
-1.25,3,7.030902
-0.25,2,7.036944
-1.25,2,7.042535
0.75,1,7.045302
-0.25,2,7.050382
-1.25,2,7.054854
-0.25,2,7.059818
-0.25,1,7.062431
-0.75,1,7.06514
-0.75,1,7.067633
-0.25,2,7.072112
