#{"t_start": 1788994989.4793754, "env_id": "None"}
r,l,t
-0.25,2,8.689568
1.25,5,8.7104
-0.75,1,8.715034
-0.25,2,8.723944
-0.25,2,8.730658
-0.75,1,8.733842
0.75,4,8.746058
-0.75,1,8.749432
-0.75,1,8.7525
5.75,14,8.79795
0.75,4,8.808226
-0.25,2,8.813431
-0.25,3,8.821069
-0.25,3,8.828973
-0.25,2,8.834605
-0.25,2,8.84035
3.75,10,8.86948
0.75,4,8.880003
-0.75,1,8.882791
-0.25,2,8.888185
0.75,4,8.898378
0.75,1,8.901124
-0.75,1,8.903815
0.75,4,8.914365
-1.25,3,8.922188
0.75,4,8.932331
-0.25,2,8.937498
2.25,4,8.948663
-0.75,1,8.951662
0.75,4,8.96352
-0.75,1,8.966481
-15.25,17,9.009688
-0.25,2,9.014921
0.25,6,9.032207
-2.25,7,9.050279
-2.25,4,9.060499
-0.75,1,9.063336
-0.75,1,9.066119
-0.25,2,9.072625
6.75,9,9.09637
-0.25,2,9.101636
-0.75,1,9.104386
-0.25,2,9.109757
-0.25,2,9.115708
-0.75,1,9.118713
-1.25,6,9.13386
-0.75,1,9.136495
-3.25,11,9.164132
1.25,3,9.171769
-0.75,1,9.174713
-0.75,1,9.177461
2.75,8,9.199461
3.25,9,9.222061
0.75,5,9.234626
4.75,12,9.265286
-0.75,1,9.268096
1.25,5,9.280774
0.75,4,9.290982
-0.75,1,9.293849
-4.75,5,9.308052
-4.75,5,9.321509
-3.25,8,9.341719
0.25,3,9.349511
-0.25,2,9.35554
0.75,4,9.365944
0.25,3,9.374172
-0.75,1,9.376954
-0.25,2,9.382186
3.25,9,9.406246
-0.75,1,9.409289
4.75,12,9.439206
-0.75,1,9.442082
-0.75,1,9.445111
-0.25,2,9.450361
-0.75,1,9.453209
-0.75,1,9.45596
-0.25,2,9.461285
0.75,4,9.471017
-0.75,7,9.488628
-0.25,2,9.49365
-0.25,2,9.498934
1.75,6,9.515838
-0.25,2,9.52192
0.75,3,9.530178
-0.25,2,9.535492
-5.25,7,9.553195
-0.75,1,9.555981
1.25,5,9.56911
-1.25,3,9.577055
-0.75,1,9.57976
0.75,1,9.582524
1.25,5,9.595194
2.75,8,9.61503
-0.75,1,9.617948
0.25,3,9.625835
-1.25,3,9.634177
-0.25,2,9.639731
-0.75,1,9.642445
-0.75,1,9.645285
0.75,4,9.65559
0.75,4,9.665753
0.75,4,9.675971
0.75,4,9.686516
-0.75,1,9.689473
0.25,3,9.697204
0.75,1,9.70023
-0.75,1,9.7031
-0.75,1,9.706083
-0.25,2,9.71155
-1.25,3,9.719303
-2.25,10,9.752424
0.25,3,9.76413
8.75,20,9.815836
-0.25,2,9.821096
0.25,3,9.82857
-0.75,1,9.831233
-0.75,1,9.833752
-14.25,16,10.198979
-0.25,2,10.204747
0.75,4,10.215553
3.25,9,10.238719
4.75,12,10.269398
-0.75,1,10.272179
-1.25,3,10.28129
-0.25,2,10.287084
0.75,4,10.297971
3.25,11,10.3285
-0.25,2,10.33407
0.75,1,10.336991
-2.25,4,10.347932
1.75,6,10.364924
1.25,5,10.378142
0.75,1,10.380919
1.25,3,10.388539
2.25,7,10.407459
-0.25,2,10.413595
-0.25,2,10.419391
-0.75,1,10.422352
-0.25,2,10.427831
-0.25,2,10.433304
-0.25,2,10.438609
-2.25,4,10.448199
-0.25,2,10.453699
-0.25,2,10.458707
2.25,5,10.470841
3.75,7,10.487859
-10.25,12,10.517897
1.75,5,10.531832
2.25,7,10.549221
1.75,12,10.579872
0.75,1,10.582628
0.75,3,10.590019
-0.25,2,10.59545
0.75,1,10.598347
0.25,3,10.605653
0.75,3,10.613286
-0.75,1,10.615788
0.25,3,10.623561
-11.25,13,10.657718
-0.75,1,10.660675
-0.25,2,10.665989
2.75,5,10.678104
-0.25,2,10.68318
0.75,1,10.685772
-0.25,2,10.690989
2.25,7,10.707982
3.75,10,10.73148
-0.75,1,10.734048
-0.25,2,10.739713
3.75,10,10.766046
2.25,10,10.793536
1.25,5,10.807223
0.75,4,10.818012
-0.75,1,10.820895
-0.25,2,10.826105
-0.25,2,10.831405
-0.75,1,10.836429
0.25,3,10.8444
4.25,14,10.885218
-0.25,2,10.890617
-0.75,1,10.893484
0.25,3,10.901022
3.25,8,10.920543
-0.25,2,10.925706
-2.25,4,10.935594
-0.75,1,10.938132
2.25,7,10.959957
1.75,6,10.976923
3.75,7,10.995734
-0.25,3,11.003749
1.75,3,11.011405
-1.25,1,11.014167
0.75,1,11.016925
0.75,4,11.027259
-0.75,1,11.03009
0.25,3,11.038292
