#{"t_start": 1789430726.8287349, "env_id": "None"}
r,l,t
0.75,1,20.920943
-1.75,5,20.94869
-0.25,2,20.959951
-0.25,1,20.965865
-0.75,1,20.970994
-0.75,1,20.976748
-0.75,2,20.989395
-1.25,2,21.002712
1.75,6,21.035975
-1.75,5,21.06227
0.75,1,21.067801
-0.25,2,21.078777
-0.75,1,21.084487
-1.25,2,21.094861
-0.25,2,21.104935
-0.75,1,21.11055
-1.25,2,21.126719
-0.75,1,21.135487
-0.75,1,21.143311
-0.25,2,21.159058
0.75,1,21.167043
-0.25,2,21.182141
-1.25,2,21.196264
-0.25,2,21.211415
-0.75,1,21.220054
0.25,3,21.241671
-0.25,2,21.256227
-1.25,2,21.271379
0.75,1,21.280097
-0.25,1,21.288556
0.25,3,21.311699
-2.25,3,21.335106
-0.25,2,21.35194
-0.75,2,21.367014
2.75,8,21.426805
-1.25,4,21.456538
-1.25,1,21.464334
0.75,1,21.472043
0.25,3,21.495875
-2.25,4,21.526662
0.25,3,21.550906
0.75,4,21.580638
0.75,1,21.589558
-0.75,4,21.620429
-0.25,2,21.635922
0.75,1,21.644104
0.75,1,21.651569
-1.25,2,21.665764
-0.75,1,21.672961
-0.25,2,21.688004
-0.25,1,21.695681
-0.75,1,21.703532
-0.25,2,21.719632
-0.75,1,21.72814
-0.25,2,21.744616
-0.75,1,21.752882
0.25,3,21.774824
-0.75,1,21.783173
1.75,6,21.826675
-0.75,1,21.834981
0.25,3,21.857064
-0.25,1,21.865177
-0.75,1,21.873584
-0.75,1,21.881496
-0.75,1,21.889599
-0.75,1,21.897656
-0.75,2,21.912533
-1.25,2,21.927889
-0.75,1,21.936534
-0.75,1,21.944938
0.75,1,21.95305
-0.75,1,21.960424
0.75,1,21.967495
-0.75,1,21.974854
2.25,7,22.022632
-1.25,3,22.04427
-2.25,3,22.065084
-0.75,1,22.072878
-0.25,1,22.080762
-1.75,2,22.095365
0.75,1,22.102906
-1.75,2,22.118669
-0.25,3,22.141943
-0.75,1,22.150366
0.25,3,22.173021
0.75,1,22.182512
-0.25,2,22.19779
-1.25,3,22.219253
-0.75,1,22.226893
-4.25,5,22.261916
-0.75,1,22.268792
-1.25,5,22.30496
0.75,4,22.335178
-0.25,1,22.343619
-0.25,2,22.359497
-0.25,2,22.374589
-0.75,1,22.381972
-1.25,3,22.404894
1.25,6,22.446709
0.25,3,22.469959
-0.75,1,22.478333
-0.25,2,22.493777
