#{"t_start": 1789380743.2197962, "env_id": "None"}
r,l,t
-0.25,2,6.74899
-0.25,1,6.752223
0.25,1,6.755798
-0.25,1,6.75899
0.25,1,6.762356
-0.25,3,6.771174
-0.25,2,6.77738
-0.25,2,6.783836
-0.25,1,6.787393
-0.25,1,6.790693
-0.25,1,6.793959
-0.25,1,6.797177
-0.25,2,6.803227
-0.25,1,6.806424
0.25,1,6.809811
-0.25,2,6.81584
-1.25,4,6.82708
-0.25,2,6.83268
-0.25,3,6.840886
-0.25,1,6.844108
-0.25,4,6.856507
0.75,4,6.868001
-0.25,1,6.871132
0.25,1,6.874151
0.25,3,6.882566
-0.75,3,6.890999
-0.25,4,6.902409
-0.25,1,6.905933
-0.25,1,6.91066
-0.25,1,6.913991
-0.25,2,6.919967
-0.25,2,6.92609
-0.25,3,6.935088
-0.25,1,6.93829
-0.25,3,6.947387
-0.25,4,6.960819
-0.25,1,6.964017
-0.25,1,6.967249
-0.25,2,6.973969
-0.25,1,6.977474
-0.25,2,6.98411
-0.25,2,6.990759
0.25,1,6.994096
-0.75,1,6.997376
-0.25,2,7.003242
-0.25,2,7.009102
-0.25,1,7.012226
-0.25,1,7.015262
-0.75,1,7.018278
-0.25,2,7.023732
-0.25,3,7.032355
-0.25,3,7.04054
-0.25,1,7.043432
-0.25,2,7.049166
-0.75,2,7.055084
-0.25,2,7.060565
-0.25,4,7.072012
-0.25,2,7.077641
-0.25,1,7.081069
-0.25,2,7.08763
-0.25,1,7.090827
0.25,1,7.09392
-0.25,1,7.097102
-0.25,1,7.101332
-0.25,2,7.107999
-0.25,1,7.111255
-0.25,1,7.114326
-0.25,2,7.120387
-0.25,2,7.125997
-0.25,1,7.129025
-0.25,1,7.131855
-0.25,1,7.134859
-0.25,1,7.137703
0.25,4,7.148391
-0.25,1,7.151593
-0.75,1,7.154538
0.25,1,7.157679
-0.75,3,7.165929
-0.25,1,7.168788
0.25,4,7.179288
-0.25,1,7.182204
-0.25,3,7.1908
-0.25,1,7.193879
-0.25,2,7.199461
0.25,1,7.202438
-0.75,3,7.211253
-0.25,3,7.21982
-0.75,3,7.228031
-0.25,2,7.233818
-0.25,3,7.241313
-0.25,1,7.24435
0.25,1,7.247253
-0.25,2,7.253335
-0.25,1,7.256377
0.25,3,7.264824
-0.25,1,7.267876
-0.25,1,7.270811
0.25,1,7.273718
-0.25,4,7.284058
-0.25,2,7.289547
-0.25,4,7.300205
-0.25,3,7.308919
-0.25,1,7.311837
-0.25,2,7.317392
-0.25,1,7.320467
-0.25,1,7.323215
-0.25,1,7.326142
-0.25,2,7.331836
-0.25,2,7.337515
-0.25,1,7.340533
-0.25,2,7.346581
-0.25,4,7.35741
-0.25,1,7.360542
-0.75,1,7.363447
-0.25,4,7.374185
-0.25,1,7.377112
-0.25,1,7.380041
-0.25,2,7.385592
-0.75,5,7.400168
-0.25,2,7.405916
-0.25,1,7.408925
-0.25,1,7.412068
0.25,1,7.415084
-0.25,3,7.423464
0.25,1,7.42612
-0.25,2,7.431327
-0.25,1,7.43445
-0.25,1,7.4378
-0.75,1,7.441008
2.0,4,7.453711
-0.25,2,7.459946
-0.25,1,7.4631
-0.25,2,7.469442
-0.25,2,7.475172
-0.75,3,7.483392
0.25,3,7.491359
0.25,1,7.494662
0.25,1,7.497815
-0.25,1,7.500939
-0.25,1,7.503885
0.25,3,7.512833
-0.25,1,7.515895
-0.25,1,7.519141
-0.25,2,7.52535
-0.25,2,7.531437
-0.25,5,7.546575
-0.25,1,7.549886
-0.25,1,7.553039
-0.25,2,7.558985
-0.25,1,7.562051
-0.25,2,7.56773
-0.25,1,7.570824
-0.25,1,7.574081
0.25,1,7.577236
-0.25,1,7.580624
0.0,6,7.597106
-0.25,1,7.599993
0.25,1,7.603174
-0.25,3,7.611996
-0.25,2,7.617927
-0.25,2,7.623882
-0.25,3,7.631604
-0.25,2,7.637381
-0.25,1,7.640546
-0.25,2,7.646683
-0.25,1,7.649746
-0.25,2,7.65536
-0.25,1,7.658376
-0.25,1,7.661813
-0.75,2,7.6683
-0.25,1,7.671762
0.25,1,7.674994
-0.25,2,7.681256
-0.75,1,7.684738
-0.25,2,7.691153
-0.75,1,7.694588
