#{"t_start": 1788542983.2141814, "env_id": "None"}
r,l,t
-1.25,1,8.390498
0.25,3,8.397929
-0.75,1,8.400583
-0.25,2,8.406419
0.75,1,8.409191
-0.75,1,8.412002
-0.25,2,8.416965
1.25,5,8.429558
-0.25,2,8.434606
-0.75,1,8.437761
0.25,4,8.44748
1.75,4,8.457386
0.25,3,8.466129
0.25,3,8.473957
2.75,5,8.486903
0.25,3,8.494356
-0.25,2,8.499215
-0.25,2,8.504384
1.25,5,8.516995
-0.75,1,8.520089
-0.25,2,8.526204
-0.25,2,8.53213
-0.75,1,8.535107
0.75,4,8.545717
-0.75,1,8.548288
0.75,1,8.550911
0.25,6,8.565557
0.75,4,8.577721
2.75,8,8.600158
-0.25,2,8.60637
0.25,3,8.614997
0.75,3,8.624471
-2.25,4,8.635006
-2.25,10,8.660015
0.75,4,8.670487
-0.75,1,8.673154
-0.25,2,8.678321
0.75,4,8.6888
-0.75,1,8.691547
-0.75,1,8.694319
0.75,4,8.704661
0.25,3,8.71233
0.75,4,8.722796
-0.25,2,8.72812
1.75,4,8.738913
-0.75,1,8.742176
0.75,4,8.754371
-0.75,1,8.757693
-0.25,2,8.763615
0.75,4,8.77437
0.75,1,8.77714
3.75,10,8.802416
-0.25,2,8.80814
1.75,6,8.823292
2.25,7,8.841599
1.25,5,8.855245
-1.25,1,8.858066
-0.25,2,8.863472
3.25,9,8.885148
-0.25,2,8.890657
-0.75,1,8.893269
-0.25,2,8.898141
-0.25,2,8.9035
-0.75,1,8.906367
1.75,6,8.921824
-0.75,1,8.925368
3.75,10,8.953534
-0.75,1,8.95641
0.25,3,8.963495
-0.75,1,8.966234
0.75,1,8.969072
2.75,8,8.989319
1.25,5,9.001628
-0.75,1,9.004846
-1.25,3,9.012453
2.75,5,9.02526
1.25,5,9.037889
-0.25,2,9.042889
0.25,3,9.049939
-0.25,2,9.055167
0.75,1,9.057907
1.25,5,9.07072
0.75,4,9.081913
-0.75,1,9.084744
-3.25,5,9.096879
1.25,5,9.109121
-6.25,8,9.128511
0.25,3,9.136
-0.25,2,9.141384
-1.25,1,9.14414
0.25,3,9.15143
0.25,3,9.159345
-0.75,1,9.162158
-0.25,2,9.166922
3.25,9,9.189606
0.75,1,9.192413
2.25,7,9.209626
1.25,5,9.222147
-0.75,1,9.224904
-0.75,1,9.227545
0.75,3,9.234797
0.75,1,9.237957
-0.25,2,9.243262
-3.75,4,9.253245
2.25,7,9.271154
-0.25,2,9.27637
-0.25,2,9.281357
-4.25,6,9.296944
-0.75,1,9.299722
-0.75,1,9.302808
0.25,3,9.311197
-0.25,2,9.316087
-5.25,7,9.333466
-0.75,1,9.336645
1.25,5,9.348316
0.25,3,9.355691
-0.75,1,9.358331
0.75,1,9.360937
1.25,5,9.373116
2.75,8,9.39586
-0.75,1,9.398938
0.25,3,9.407646
0.25,3,9.414938
-0.25,2,9.42027
-0.75,1,9.423091
-0.75,1,9.425941
-2.25,4,9.436199
0.75,4,9.446749
1.75,3,9.454391
-0.75,1,9.457761
-0.25,2,9.464396
-0.75,1,9.467484
-0.75,1,9.4706
-0.75,1,9.473881
0.25,3,9.481634
-1.25,1,9.484394
-0.25,2,9.490132
-0.25,2,9.495346
0.25,3,9.502815
3.75,10,9.535547
0.25,3,9.544073
7.5,15,9.582845
-0.25,2,9.588381
0.25,3,9.596579
-0.25,2,9.601554
-1.25,3,9.609658
-0.75,1,9.612721
-0.75,1,9.615472
-2.75,6,9.93142
-0.75,10,9.974797
-0.25,2,9.981552
1.75,4,9.992167
2.75,8,10.010789
-0.75,1,10.013408
-0.75,1,10.015983
-1.25,3,10.02336
1.25,5,10.035404
0.25,3,10.043796
0.75,1,10.04659
-3.25,5,10.059131
-0.75,1,10.062195
0.25,3,10.070359
10.75,11,10.099774
0.75,1,10.102638
-0.75,1,10.106697
1.25,5,10.123838
-4.25,6,10.139647
-3.25,5,10.156448
-0.75,1,10.162123
-0.25,2,10.168133
-0.75,1,10.171539
3.25,7,10.190571
-0.25,2,10.196826
-0.25,2,10.202807
-0.75,1,10.205877
-0.25,2,10.211728
-0.25,2,10.217103
-0.25,2,10.222298
2.75,8,10.242309
-0.75,1,10.245124
0.75,4,10.255386
2.25,7,10.272627
5.75,17,10.321361
4.75,7,10.342688
1.75,9,10.368668
-0.25,2,10.375201
-0.75,1,10.378571
-0.75,1,10.382198
0.25,3,10.39191
1.75,6,10.408334
0.75,3,10.416729
-0.75,1,10.419713
-1.25,3,10.42809
1.25,11,10.457963
0.25,3,10.466747
-0.25,2,10.472247
-0.25,2,10.477314
0.25,3,10.484988
-0.25,2,10.492226
-0.75,1,10.495553
